debate_id,date,file_name,major_heading_text,colnum,time,url
debates2012-10-26a.xml_default,2012-10-26,debates2012-10-26a.xml,,,,
uk.org.publicwhip/debate/2012-11-21a.680.0,2012-11-21,debates2012-11-21a.xml,EUROPEAN UNION DOCUMENTS,680,018:47:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm121121/debtext/121121-0003.htm#12112190000005"
uk.org.publicwhip/debate/2012-12-13a.449.0,2012-12-13,debates2012-12-13a.xml,Business of the House,449,09:30:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm121213/debtext/121213-0001.htm#12121342000001"
uk.org.publicwhip/debate/2012-12-13a.471.6,2012-12-13,debates2012-12-13a.xml,BILL PRESENTED,471,011:24:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm121213/debtext/121213-0002.htm#12121342000015"
uk.org.publicwhip/debate/2013-02-04a.1.1,2013-02-04,debates2013-02-04a.xml,COMMUNITIES AND LOCAL GOVERNMENT,1,14:30:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm130204/debtext/130204-0001.htm#130204-0001.htm_dpthd0"
uk.org.publicwhip/debate/2013-02-07a.403.4,2013-02-07,debates2013-02-07a.xml,"BUSINESS, INNOVATION AND SKILLS",403,09:30:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm130207/debtext/130207-0001.htm#130207-0001.htm_dpthd0"
uk.org.publicwhip/debate/2013-04-22a.646.0,2013-04-22,debates2013-04-22a.xml,Public Service Pensions Bill,646,015:36:00,"http://www.publications.parliament.uk/pa/cm201213/cmhansrd/cm130422/debtext/130422-0001.htm#130422-0001.htm_para17"
uk.org.publicwhip/debate/2013-05-15b.655.2,2013-05-15,debates2013-05-15b.xml,Economic Growth,655,013:26:00,"http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130515/debtext/130515-0001.htm#topichd_1"
uk.org.publicwhip/debate/2013-07-16a.957.0,2013-07-16,debates2013-07-16a.xml,Defence Reform Bill,957,014:40:00,"http://www.publications.parliament.uk/pa/cm201314/cmhansrd/cm130716/debtext/130716-0002.htm#topichd_1"
uk.org.publicwhip/debate/2021-03-09c.676.1,2021-03-09,debates2021-03-09c.xml,Income Tax (Charge),676,13:36:00,""
uk.org.publicwhip/debate/2021-03-10b.845.3,2021-03-10,debates2021-03-10b.xml,Scotland,845,"",""
uk.org.publicwhip/debate/2021-03-23b.795.0,2021-03-23,debates2021-03-23b.xml,Defence and Security Industrial Strategy,795,12:35:00,""
uk.org.publicwhip/debate/2021-03-25a.1057.0,2021-03-25,debates2021-03-25a.xml,UK Steel Production: Greensill Capital,1057,"",""
uk.org.publicwhip/debate/2021-04-13e.189.0,2021-04-13,debates2021-04-13e.xml,Finance (No. 2) Bill,189,15:31:00,""
uk.org.publicwhip/debate/2021-04-29a.521.0,2021-04-29,debates2021-04-29a.xml,Her Majesty’s Most Gracious Speech,521,14:27:00,""
uk.org.publicwhip/debate/2021-05-26b.375.0,2021-05-26,debates2021-05-26b.xml,Environment Bill,375,12:36:00,""
